ID_Cliente,Nombre_Cliente,Fecha_Registro,Antiguedad_Dias,Segmento,Puntaje_Fidelidad,Canal_Preferido,Region,Estado,Fecha_Actualizacion,ID_Pedido,Fecha_Pedido,Modo_Envio,Prioridad,Estado_Pedido,Ventas,Etiqueta_Ventas,Ganancia,Etiqueta_Ganancia,Margen_Rentabilidad_%,Nombre_Producto,Cantidad,Categoria,Subcategoria,Marca
C0258,Fernanda Silva,2023-11-29,-31,Corporativo,20,Teléfono,Centro,Maule,2024-11-26,ORD-2023-00004,2023-10-29,Primera Clase,Baja,Enviado,1121.57,Normal,-167.29,Normal,-14.92,Archivadores Smart 7,6,Oficina,Archivadores,Altura
C0258,Fernanda Silva,2023-11-29,-31,Corporativo,20,Teléfono,Centro,Maule,2024-11-26,ORD-2023-00004,2023-10-29,Primera Clase,Media,Enviado,838.22,Normal,383.39,Normal,45.74,Libreros Plus 2,2,Muebles,Libreros,Vector
C0118,Nicolás Díaz,2022-11-07,874,Consumidor,98,Correo,Austral,Magallanes,2024-01-29,ORD-2023-00005,2025-03-30,Estándar,Alta,Completado,3617.95,Normal,1085.7,Normal,30.01,Periféricos Eco 2,5,Tecnología,Periféricos,Vector
C0118,Nicolás Díaz,2022-11-07,874,Consumidor,98,Correo,Austral,Magallanes,2024-01-29,ORD-2023-00005,2025-03-30,Estándar,Media,Completado,1423.97,Normal,-21.81,Normal,-1.53,Accesorios Nova 10,3,Tecnología,Accesorios,Andes
C0118,Nicolás Díaz,2022-11-07,874,Consumidor,98,Correo,Austral,Magallanes,2024-01-29,ORD-2023-00005,2025-03-30,Estándar,Media,Completado,659.35,Normal,228.2,Normal,34.61,Sobres Pro 5,5,Oficina,Sobres,Alerce
C0256,Daniela Araya,2021-09-20,1222,Corporativo,26,App,Austral,Aysén,2024-03-28,ORD-2023-00006,2025-01-24,Segunda Clase,Baja,Enviado,263.33,Normal,99.88,Normal,37.93,Etiquetas Pro 7,4,Oficina,Etiquetas,Orion
C0256,Daniela Araya,2021-09-20,1222,Corporativo,26,App,Austral,Aysén,2024-03-28,ORD-2023-00006,2025-01-24,Segunda Clase,Baja,Enviado,1091.02,Normal,304.33,Normal,27.89,Teléfonos Pro 6,2,Tecnología,Teléfonos,Orion
C0247,Fernanda Martínez,2021-08-21,878,Consumidor,33,Web,Austral,Aysén,2024-04-25,ORD-2023-00007,2024-01-16,Primera Clase,Crítica,Completado,801.12,Normal,174.15,Normal,21.74,Archivadores Smart 7,3,Oficina,Archivadores,Altura
C0247,Fernanda Martínez,2021-08-21,878,Consumidor,33,Web,Austral,Aysén,2024-04-25,ORD-2023-00007,2024-01-16,Primera Clase,Media,Completado,395.83,Normal,163.33,Normal,41.26,Libreros Plus 2,1,Muebles,Libreros,Vector
C0235,María Hernández,2022-08-24,253,Consumidor,15,App,Austral,Aysén,2024-12-11,ORD-2023-00008,2023-05-04,Estándar,Alta,Completado,491.5,Normal,72.41,Normal,14.73,Sillas Smart 9,2,Muebles,Sillas,Orion
C0235,María Hernández,2022-08-24,253,Consumidor,15,App,Austral,Aysén,2024-12-11,ORD-2023-00008,2023-05-04,Estándar,Alta,Completado,3834.91,Normal,1839.18,Normal,47.96,Computadores Nova 4,5,Tecnología,Computadores,Vector
C0188,Nicolás Sepúlveda,2022-03-28,467,Consumidor,86,Correo,Centro,O'Higgins,2024-06-09,ORD-2023-00009,2023-07-08,Primera Clase,Media,Completado,7017.6,Venta Extraordinaria,3651.12,Ganancia Atípica,52.03,Periféricos Nova 6,8,Tecnología,Periféricos,Patagonia
C0188,Nicolás Sepúlveda,2022-03-28,467,Consumidor,86,Correo,Centro,O'Higgins,2024-06-09,ORD-2023-00009,2023-07-08,Primera Clase,Crítica,Completado,467.06,Normal,214.53,Normal,45.93,Etiquetas Pro 5,2,Oficina,Etiquetas,Lumen
C0188,Nicolás Sepúlveda,2022-03-28,467,Consumidor,86,Correo,Centro,O'Higgins,2024-06-09,ORD-2023-00009,2023-07-08,Primera Clase,Media,Completado,401.13,Normal,159.54,Normal,39.77,Etiquetas Nova 10,7,Oficina,Etiquetas,Orion
C0188,Nicolás Sepúlveda,2022-03-28,467,Consumidor,86,Correo,Centro,O'Higgins,2024-06-09,ORD-2023-00009,2023-07-08,Primera Clase,Media,Completado,875.36,Normal,411.61,Normal,47.02,Libreros Plus 1,1,Muebles,Libreros,Altura
C0265,Fernanda Castillo,2022-10-03,636,Consumidor,54,Teléfono,Sur,Biobío,2024-05-18,ORD-2023-00010,2024-06-30,Estándar,Alta,Completado,1053.36,Normal,357.93,Normal,33.98,Papelería Plus 9,3,Oficina,Papelería,Vector
C0244,Nicolás Hernández,2021-09-16,1116,Consumidor,40,Web,Norte,Coquimbo,2024-07-10,ORD-2023-00011,2024-10-06,Primera Clase,Media,Completado,427.92,Normal,52.49,Normal,12.27,Sillas Eco 5,1,Muebles,Sillas,Lumen
C0244,Nicolás Hernández,2021-09-16,1116,Consumidor,40,Web,Norte,Coquimbo,2024-07-10,ORD-2023-00011,2024-10-06,Primera Clase,Crítica,Completado,1113.78,Normal,338.7,Normal,30.41,Almacenamiento Smart 4,3,Muebles,Almacenamiento,Lumen
C0244,Nicolás Hernández,2021-09-16,1116,Consumidor,40,Web,Norte,Coquimbo,2024-07-10,ORD-2023-00011,2024-10-06,Primera Clase,Alta,Completado,420.96,Normal,114.48,Normal,27.19,Archivadores Smart 10,8,Oficina,Archivadores,Andes
C0238,Sebastián López,2023-06-20,476,Home Office,53,No Especificado,Norte,Coquimbo,2024-09-25,ORD-2023-00012,2024-10-08,Primera Clase,Media,Completado,1527.58,Normal,408.94,Normal,26.77,Etiquetas Smart 9,2,Oficina,Etiquetas,Patagonia
C0238,Sebastián López,2023-06-20,476,Home Office,53,No Especificado,Norte,Coquimbo,2024-09-25,ORD-2023-00012,2024-10-08,Primera Clase,Crítica,Completado,834.41,Normal,223.18,Normal,26.75,Sillas Eco 1,6,Muebles,Sillas,Vector
C0238,Sebastián López,2023-06-20,476,Home Office,53,No Especificado,Norte,Coquimbo,2024-09-25,ORD-2023-00012,2024-10-08,Primera Clase,Crítica,Completado,5200.03,Normal,798.96,Normal,15.36,Periféricos Nova 5,8,Tecnología,Periféricos,Orion
C0238,Sebastián López,2023-06-20,476,Home Office,53,No Especificado,Norte,Coquimbo,2024-09-25,ORD-2023-00012,2024-10-08,Primera Clase,Media,Completado,1112.13,Normal,396.0,Normal,35.61,Mesas Eco 3,3,Muebles,Mesas,Alerce
C0121,Sebastián Muñoz,2023-11-28,346,Consumidor,89,Teléfono,Austral,Aysén,2024-10-21,ORD-2023-00013,2024-11-08,Estándar,Crítica,Completado,189.76,Normal,72.52,Normal,38.22,Mesas Smart 1,2,Muebles,Mesas,Orion
C0121,Sebastián Muñoz,2023-11-28,346,Consumidor,89,Teléfono,Austral,Aysén,2024-10-21,ORD-2023-00013,2024-11-08,Estándar,Baja,Completado,888.52,Normal,211.03,Normal,23.75,Almacenamiento Flex 1,1,Muebles,Almacenamiento,Patagonia
C0054,Catalina Araya,2024-10-23,-393,Corporativo,13,Teléfono,Sur,La Araucanía,2024-08-14,ORD-2023-00014,2023-09-26,Segunda Clase,Media,Completado,1547.43,Normal,571.17,Normal,36.91,Mesas Smart 7,3,Muebles,Mesas,Patagonia
C0054,Catalina Araya,2024-10-23,-393,Corporativo,13,Teléfono,Sur,La Araucanía,2024-08-14,ORD-2023-00014,2023-09-26,Segunda Clase,Alta,Completado,23.9,Normal,3.48,Normal,14.56,Accesorios Eco 4,1,Tecnología,Accesorios,Orion
C0054,Catalina Araya,2024-10-23,-393,Corporativo,13,Teléfono,Sur,La Araucanía,2024-08-14,ORD-2023-00014,2023-09-26,Segunda Clase,Alta,Completado,2883.22,Normal,251.97,Normal,8.74,Sobres Flex 1,8,Oficina,Sobres,Lumen
C0281,Benjamín González,2023-08-30,214,Home Office,93,Teléfono,Centro,Maule,2025-01-21,ORD-2023-00015,2024-03-31,Segunda Clase,Crítica,Completado,5168.9,Normal,1520.29,Normal,29.41,Papelería Smart 1,7,Oficina,Papelería,Altura
C0281,Benjamín González,2023-08-30,214,Home Office,93,Teléfono,Centro,Maule,2025-01-21,ORD-2023-00015,2024-03-31,Segunda Clase,Alta,Completado,3066.76,Normal,1181.68,Normal,38.53,Libreros Eco 10,4,Muebles,Libreros,Andes
C0281,Benjamín González,2023-08-30,214,Home Office,93,Teléfono,Centro,Maule,2025-01-21,ORD-2023-00015,2024-03-31,Segunda Clase,Baja,Completado,1853.55,Normal,660.0,Normal,35.61,Mesas Eco 3,5,Muebles,Mesas,Alerce
C0281,Benjamín González,2023-08-30,214,Home Office,93,Teléfono,Centro,Maule,2025-01-21,ORD-2023-00015,2024-03-31,Segunda Clase,Baja,Completado,440.56,Normal,120.1,Normal,27.26,Libreros Pro 7,3,Muebles,Libreros,Nova
C0252,Martina Soto,2023-11-08,462,Corporativo,25,App,Centro,Maule,2024-07-13,ORD-2023-00016,2025-02-12,Segunda Clase,Crítica,Enviado,5064.56,Normal,1009.03,Normal,19.92,Almacenamiento Flex 1,6,Muebles,Almacenamiento,Patagonia
C0203,Ignacio Araya,2023-08-06,38,Corporativo,67,Web,Centro,Valparaíso,2025-01-25,ORD-2023-00017,2023-09-13,Mismo Día,Alta,Completado,3669.0,Normal,1136.31,Normal,30.97,Teléfonos Plus 1,7,Tecnología,Teléfonos,Lumen
C0203,Ignacio Araya,2023-08-06,38,Corporativo,67,Web,Centro,Valparaíso,2025-01-25,ORD-2023-00017,2023-09-13,Mismo Día,Baja,Completado,1155.92,Normal,404.23,Normal,34.97,Periféricos Nova 7,5,Tecnología,Periféricos,Orion
C0203,Ignacio Araya,2023-08-06,38,Corporativo,67,Web,Centro,Valparaíso,2025-01-25,ORD-2023-00017,2023-09-13,Mismo Día,Crítica,Completado,2179.85,Normal,1008.98,Normal,46.29,Computadores Nova 4,3,Tecnología,Computadores,Vector
C0232,Catalina López,2022-06-04,489,Corporativo,55,Web,Austral,Aysén,2024-05-20,ORD-2023-00018,2023-10-06,Estándar,Alta,Completado,667.86,Normal,197.81,Normal,29.62,Libreros Smart 9,1,Muebles,Libreros,Patagonia
C0138,Gabriel Muñoz,2023-01-05,124,Corporativo,65,Teléfono,Austral,Magallanes,2024-09-25,ORD-2023-00019,2023-05-09,Segunda Clase,Crítica,Completado,2218.22,Normal,815.1,Normal,36.75,Computadores Pro 8,6,Tecnología,Computadores,Lumen
C0138,Gabriel Muñoz,2023-01-05,124,Corporativo,65,Teléfono,Austral,Magallanes,2024-09-25,ORD-2023-00019,2023-05-09,Segunda Clase,Media,Completado,5003.44,Normal,1125.28,Normal,22.49,Sillas Plus 8,8,Muebles,Sillas,Orion
C0138,Gabriel Muñoz,2023-01-05,124,Corporativo,65,Teléfono,Austral,Magallanes,2024-09-25,ORD-2023-00019,2023-05-09,Segunda Clase,Crítica,Completado,1586.4,Normal,278.45,Normal,17.55,Accesorios Plus 8,5,Tecnología,Accesorios,Andes
C0138,Gabriel Muñoz,2023-01-05,124,Corporativo,65,Teléfono,Austral,Magallanes,2024-09-25,ORD-2023-00019,2023-05-09,Segunda Clase,Baja,Completado,2906.46,Normal,1254.0,Normal,43.15,Computadores Nova 4,4,Tecnología,Computadores,Vector
C0063,Antonia Castillo,2021-07-11,1325,Corporativo,96,App,Sur,Los Lagos,2024-01-30,ORD-2023-00020,2025-02-25,Estándar,Alta,Completado,1001.77,Normal,433.71,Normal,43.29,Archivadores Plus 5,2,Oficina,Archivadores,Altura
C0063,Antonia Castillo,2021-07-11,1325,Corporativo,96,App,Sur,Los Lagos,2024-01-30,ORD-2023-00020,2025-02-25,Estándar,Baja,Completado,4237.62,Normal,1615.14,Normal,38.11,Sobres Plus 10,6,Oficina,Sobres,Altura
C0063,Antonia Castillo,2021-07-11,1325,Corporativo,96,App,Sur,Los Lagos,2024-01-30,ORD-2023-00020,2025-02-25,Estándar,Alta,Completado,1271.68,Normal,479.7,Normal,37.72,Archivadores Pro 6,2,Oficina,Archivadores,Patagonia
C0063,Antonia Castillo,2021-07-11,1325,Corporativo,96,App,Sur,Los Lagos,2024-01-30,ORD-2023-00020,2025-02-25,Estándar,Media,Completado,2864.04,Normal,595.14,Normal,20.78,Computadores Plus 6,6,Tecnología,Computadores,Lumen
C0058,Nicolás Morales,2022-10-05,329,Home Office,48,Web,Norte,Coquimbo,2024-09-18,ORD-2023-00021,2023-08-30,Primera Clase,Crítica,Completado,379.52,Normal,145.04,Normal,38.22,Mesas Smart 1,4,Muebles,Mesas,Orion
C0080,Daniela Morales,2023-02-16,334,Corporativo,63,Teléfono,Austral,Aysén,2024-11-26,ORD-2023-00022,2024-01-16,Primera Clase,Baja,Completado,2379.6,Normal,728.46,Normal,30.61,Accesorios Plus 8,6,Tecnología,Accesorios,Andes
C0065,Benjamín Rojas,2023-04-29,381,Corporativo,99,App,Sur,Los Ríos,2025-02-17,ORD-2023-00023,2024-05-14,Mismo Día,Alta,Enviado,5166.15,Normal,288.62,Normal,5.59,Accesorios Plus 3,7,Tecnología,Accesorios,Altura
C0065,Benjamín Rojas,2023-04-29,381,Corporativo,99,App,Sur,Los Ríos,2025-02-17,ORD-2023-00023,2024-05-14,Mismo Día,Alta,Enviado,541.93,Normal,37.69,Normal,6.95,Sobres Flex 6,1,Oficina,Sobres,Patagonia
C0278,Fernanda Castillo,2021-11-29,1111,Corporativo,88,Correo,Sur,Los Lagos,2025-03-03,ORD-2023-00024,2024-12-14,Primera Clase,Crítica,Completado,2631.6,Normal,1369.17,Normal,52.03,Periféricos Nova 6,3,Tecnología,Periféricos,Patagonia
C0278,Fernanda Castillo,2021-11-29,1111,Corporativo,88,Correo,Sur,Los Lagos,2025-03-03,ORD-2023-00024,2024-12-14,Primera Clase,Crítica,Completado,1737.91,Normal,491.89,Normal,28.3,Periféricos Nova 8,5,Tecnología,Periféricos,Andes
C0278,Fernanda Castillo,2021-11-29,1111,Corporativo,88,Correo,Sur,Los Lagos,2025-03-03,ORD-2023-00024,2024-12-14,Primera Clase,Alta,Completado,540.12,Normal,160.02,Normal,29.63,Archivadores Pro 4,3,Oficina,Archivadores,Alerce
C0278,Fernanda Castillo,2021-11-29,1111,Corporativo,88,Correo,Sur,Los Lagos,2025-03-03,ORD-2023-00024,2024-12-14,Primera Clase,Crítica,Completado,178.91,Normal,22.88,Normal,12.79,Archivadores Smart 10,4,Oficina,Archivadores,Andes
C0098,Jorge Díaz,2022-01-30,872,Home Office,25,Teléfono,Centro,Maule,2025-02-25,ORD-2023-00025,2024-06-20,Primera Clase,Baja,Completado,317.34,Normal,103.08,Normal,32.48,Papelería Pro 3,6,Oficina,Papelería,Altura
C0098,Jorge Díaz,2022-01-30,872,Home Office,25,Teléfono,Centro,Maule,2025-02-25,ORD-2023-00025,2024-06-20,Primera Clase,Media,Completado,2607.84,Normal,1041.42,Normal,39.93,Accesorios Nova 6,3,Tecnología,Accesorios,Andes
C0098,Jorge Díaz,2022-01-30,872,Home Office,25,Teléfono,Centro,Maule,2025-02-25,ORD-2023-00025,2024-06-20,Primera Clase,Crítica,Completado,593.33,Normal,310.58,Normal,52.35,Teléfonos Pro 4,8,Tecnología,Teléfonos,Alerce
C0098,Jorge Díaz,2022-01-30,872,Home Office,25,Teléfono,Centro,Maule,2025-02-25,ORD-2023-00025,2024-06-20,Primera Clase,Media,Completado,5356.87,Normal,1136.31,Normal,21.21,Papelería Smart 5,8,Oficina,Papelería,Alerce
C0037,Carlos Espinoza,2024-03-31,-442,Consumidor,89,Web,Austral,Aysén,2024-10-08,ORD-2023-00026,2023-01-14,Estándar,Baja,Cancelado,4152.09,Normal,420.46,Normal,10.13,Sillas Plus 7,7,Muebles,Sillas,Andes
C0137,Javiera Díaz,2021-12-07,931,Corporativo,13,Teléfono,Sur,Los Ríos,2024-07-14,ORD-2023-00027,2024-06-25,Estándar,Media,Enviado,914.75,Normal,248.12,Normal,27.12,Teléfonos Nova 3,4,Tecnología,Teléfonos,Lumen
C0292,Carlos Castillo,2024-04-16,169,Home Office,41,App,Centro,Maule,2025-01-31,ORD-2023-00028,2024-10-02,Estándar,Media,Completado,4738.37,Normal,352.41,Normal,7.44,Papelería Flex 7,8,Oficina,Papelería,Andes
C0292,Carlos Castillo,2024-04-16,169,Home Office,41,App,Centro,Maule,2025-01-31,ORD-2023-00028,2024-10-02,Estándar,Media,Completado,1028.86,Normal,209.52,Normal,20.36,Etiquetas Pro 2,3,Oficina,Etiquetas,Vector
C0292,Carlos Castillo,2024-04-16,169,Home Office,41,App,Centro,Maule,2025-01-31,ORD-2023-00028,2024-10-02,Estándar,Alta,Completado,4541.45,Normal,652.02,Normal,14.36,Libreros Smart 9,8,Muebles,Libreros,Patagonia
C0191,Martina Silva,2024-02-19,8,Home Office,19,Teléfono,Centro,Metropolitana,2025-01-14,ORD-2023-00029,2024-02-27,Primera Clase,Alta,Enviado,559.23,Normal,64.21,Normal,11.48,Almacenamiento Eco 3,4,Muebles,Almacenamiento,Orion
C0191,Martina Silva,2024-02-19,8,Home Office,19,Teléfono,Centro,Metropolitana,2025-01-14,ORD-2023-00029,2024-02-27,Primera Clase,Baja,Enviado,3907.85,Normal,-566.36,Normal,-14.49,Sillas Plus 7,8,Muebles,Sillas,Andes
C0018,Vicente Rodríguez,2022-05-06,531,Corporativo,40,Web,Centro,Valparaíso,2024-10-25,ORD-2023-00030,2023-10-19,Primera Clase,Alta,Devuelto,955.81,Normal,190.16,Normal,19.9,Computadores Eco 9,4,Tecnología,Computadores,Patagonia
C0018,Vicente Rodríguez,2022-05-06,531,Corporativo,40,Web,Centro,Valparaíso,2024-10-25,ORD-2023-00030,2023-10-19,Primera Clase,Alta,Devuelto,696.15,Normal,196.29,Normal,28.2,Sobres Nova 8,3,Oficina,Sobres,Alerce
C0018,Vicente Rodríguez,2022-05-06,531,Corporativo,40,Web,Centro,Valparaíso,2024-10-25,ORD-2023-00030,2023-10-19,Primera Clase,Media,Devuelto,1334.85,Normal,607.53,Normal,45.51,Teléfonos Flex 10,3,Tecnología,Teléfonos,Lumen
C0120,Fernanda Díaz,2023-11-20,-61,Corporativo,94,Web,Centro,Valparaíso,2024-04-29,ORD-2023-00031,2023-09-20,Segunda Clase,Baja,Completado,2624.45,Normal,1022.8,Normal,38.97,Archivadores Flex 3,6,Oficina,Archivadores,Vector
C0154,Ana Castillo,2022-11-03,97,Home Office,92,App,Sur,Los Ríos,2024-02-10,ORD-2023-00032,2023-02-08,Estándar,Baja,Completado,2995.44,Normal,125.08,Normal,4.18,Sillas Eco 5,7,Muebles,Sillas,Lumen
C0154,Ana Castillo,2022-11-03,97,Home Office,92,App,Sur,Los Ríos,2024-02-10,ORD-2023-00032,2023-02-08,Estándar,Crítica,Completado,1814.6,Normal,909.76,Normal,50.14,Sobres Pro 2,4,Oficina,Sobres,Orion
C0154,Ana Castillo,2022-11-03,97,Home Office,92,App,Sur,Los Ríos,2024-02-10,ORD-2023-00032,2023-02-08,Estándar,Media,Completado,1565.45,Normal,847.55,Normal,54.14,Accesorios Nova 7,5,Tecnología,Accesorios,Alerce
C0168,Gabriel Araya,2023-07-28,306,Corporativo,17,Web,Centro,O'Higgins,2024-06-04,ORD-2023-00033,2024-05-29,Mismo Día,Media,Completado,1771.06,Normal,352.15,Normal,19.88,Computadores Eco 9,7,Tecnología,Computadores,Patagonia
C0068,Gabriel Hernández,2023-12-24,-13,Home Office,66,No Especificado,Centro,Valparaíso,2025-02-22,ORD-2023-00034,2023-12-11,Mismo Día,Crítica,Enviado,3459.05,Normal,815.15,Normal,23.57,Mesas Nova 2,7,Muebles,Mesas,Lumen
C0287,Felipe Contreras,2022-07-26,361,Consumidor,38,Teléfono,Norte,Coquimbo,2024-08-11,ORD-2023-00035,2023-07-22,Segunda Clase,Baja,Completado,4550.02,Normal,719.37,Normal,15.81,Periféricos Nova 5,7,Tecnología,Periféricos,Orion
C0058,Nicolás Morales,2022-10-05,775,Home Office,48,Web,Norte,Coquimbo,2024-09-18,ORD-2023-00036,2024-11-18,Primera Clase,Crítica,Completado,52.85,Normal,27.85,Normal,52.7,Archivadores Eco 9,5,Oficina,Archivadores,Orion
C0075,Ana Rodríguez,2023-03-10,383,Corporativo,78,Correo,Norte,Coquimbo,2024-08-29,ORD-2023-00037,2024-03-27,Primera Clase,Media,Completado,663.57,Normal,141.7,Normal,21.35,Teléfonos Plus 5,1,Tecnología,Teléfonos,Nova
C0148,Josefa Rodríguez,2021-09-27,475,Home Office,47,Web,Norte,Antofagasta,2024-10-14,ORD-2023-00038,2023-01-15,Mismo Día,Alta,Completado,2677.48,Normal,1071.66,Normal,40.02,Sillas Smart 3,4,Muebles,Sillas,Altura
C0281,Benjamín González,2023-08-30,253,Home Office,93,Teléfono,Centro,Maule,2025-01-21,ORD-2023-00039,2024-05-09,Estándar,Alta,Completado,2650.05,Normal,572.61,Normal,21.61,Periféricos Nova 3,3,Tecnología,Periféricos,Altura
C0028,Benjamín Muñoz,2024-08-31,-132,Home Office,17,Web,Austral,Magallanes,2024-06-08,ORD-2023-00040,2024-04-21,Primera Clase,Crítica,Completado,1029.72,Normal,430.6,Normal,41.82,Sobres Flex 1,2,Oficina,Sobres,Lumen
C0028,Benjamín Muñoz,2024-08-31,-132,Home Office,17,Web,Austral,Magallanes,2024-06-08,ORD-2023-00040,2024-04-21,Primera Clase,Crítica,Completado,4866.4,Normal,2626.54,Ganancia Atípica,53.97,Computadores Flex 10,7,Tecnología,Computadores,Alerce
C0028,Benjamín Muñoz,2024-08-31,-132,Home Office,17,Web,Austral,Magallanes,2024-06-08,ORD-2023-00040,2024-04-21,Primera Clase,Crítica,Completado,218.98,Normal,111.7,Normal,51.01,Almacenamiento Nova 7,2,Muebles,Almacenamiento,Altura
C0288,Martina Contreras,2023-09-29,458,Home Office,71,Teléfono,Centro,Metropolitana,2025-03-05,ORD-2023-00041,2024-12-30,Mismo Día,Alta,Completado,4428.13,Normal,362.73,Normal,8.19,Accesorios Plus 3,6,Tecnología,Accesorios,Altura
C0288,Martina Contreras,2023-09-29,458,Home Office,71,Teléfono,Centro,Metropolitana,2025-03-05,ORD-2023-00041,2024-12-30,Mismo Día,Crítica,Completado,1162.9,Normal,597.7,Normal,51.4,Periféricos Smart 1,5,Tecnología,Periféricos,Andes
C0016,Diego Araya,2022-02-12,891,Home Office,57,App,Sur,Biobío,2025-01-20,ORD-2023-00042,2024-07-22,Segunda Clase,Media,Enviado,552.86,Normal,131.1,Normal,23.71,Libreros Pro 7,4,Muebles,Libreros,Nova
C0016,Diego Araya,2022-02-12,891,Home Office,57,App,Sur,Biobío,2025-01-20,ORD-2023-00042,2024-07-22,Segunda Clase,Media,Enviado,2461.22,Normal,774.3,Normal,31.46,Mesas Plus 5,5,Muebles,Mesas,Vector
C0016,Diego Araya,2022-02-12,891,Home Office,57,App,Sur,Biobío,2025-01-20,ORD-2023-00042,2024-07-22,Segunda Clase,Alta,Enviado,113.09,Normal,56.12,Normal,49.62,Computadores Flex 7,3,Tecnología,Computadores,Alerce
C0016,Diego Araya,2022-02-12,891,Home Office,57,App,Sur,Biobío,2025-01-20,ORD-2023-00042,2024-07-22,Segunda Clase,Media,Enviado,842.69,Normal,105.49,Normal,12.52,Papelería Plus 9,3,Oficina,Papelería,Vector
C0290,Diego Muñoz,2021-06-11,730,Corporativo,66,Teléfono,Sur,Los Lagos,2025-01-28,ORD-2023-00043,2023-06-11,Segunda Clase,Alta,Completado,1122.77,Normal,83.81,Normal,7.46,Archivadores Nova 8,6,Oficina,Archivadores,Lumen
C0227,Diego Díaz,2022-05-04,1005,Consumidor,91,Correo,Sur,Los Ríos,2024-09-06,ORD-2023-00044,2025-02-02,Primera Clase,Alta,Cancelado,234.21,Normal,126.3,Normal,53.93,Teléfonos Pro 4,3,Tecnología,Teléfonos,Alerce
C0227,Diego Díaz,2022-05-04,1005,Consumidor,91,Correo,Sur,Los Ríos,2024-09-06,ORD-2023-00044,2025-02-02,Primera Clase,Baja,Cancelado,1140.84,Normal,605.74,Normal,53.1,Almacenamiento Eco 8,4,Muebles,Almacenamiento,Andes
C0184,Fernanda Soto,2022-10-01,173,Corporativo,82,Teléfono,Norte,Coquimbo,2025-02-15,ORD-2023-00045,2023-03-23,Mismo Día,Media,Completado,3956.01,Normal,1153.66,Normal,29.16,Computadores Nova 4,7,Tecnología,Computadores,Vector
C0184,Fernanda Soto,2022-10-01,173,Corporativo,82,Teléfono,Norte,Coquimbo,2025-02-15,ORD-2023-00045,2023-03-23,Mismo Día,Baja,Completado,3054.84,Normal,976.2,Normal,31.96,Computadores Plus 5,4,Tecnología,Computadores,Orion
